Election Type,Election Date,Province / Territory,Constituency,First Name,Last Name,Political Party,Election Result
General Election,2021-09-20 12:00:00 AM,Alberta,Sturgeon River—Parkland,Kendra,Mills,New Democratic Party,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Sturgeon River—Parkland,Irene,Walker,Liberal Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Sturgeon River—Parkland,Jeffrey,Willerton,Christian Heritage Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Yellowhead,Gordon,Francey,Veterans Coalition Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Yellowhead,Michael,Manchen,People's Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Yellowhead,Robert,Muir,Maverick Party,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Yellowhead,Guillaume,Roy,New Democratic Party,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Yellowhead,Sheila,Schumacher,Liberal Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Yellowhead,Gerald,Soroka,Conservative Party of Canada,Re-Elected
General Election,2021-09-20 12:00:00 AM,British Columbia,Abbotsford,Ed,Fast,Conservative Party of Canada,Re-Elected
General Election,2021-09-20 12:00:00 AM,British Columbia,Abbotsford,Stephen,Fowler,Green Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,British Columbia,Abbotsford,Navreen,Gill,Liberal Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,British Columbia,Abbotsford,Kevin,Sinclair,People's Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,British Columbia,Abbotsford,Dharmasena,Yakandawela,New Democratic Party,Defeated
General Election,2021-09-20 12:00:00 AM,British Columbia,Burnaby North—Seymour,Terry,Beech,Liberal Party of Canada,Re-Elected
General Election,2021-09-20 12:00:00 AM,British Columbia,Burnaby North—Seymour,Peter,Dolling,Green Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,British Columbia,Burnaby North—Seymour,James,Hanson,New Democratic Party,Defeated
General Election,2021-09-20 12:00:00 AM,British Columbia,Burnaby North—Seymour,Bradley,Nickerson,People's Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,British Columbia,Burnaby North—Seymour,Kelsey,Shein,Conservative Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,British Columbia,Burnaby South,Maureen,Curran,Green Party of Canada,Defeated
